,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
0,Zazie Beetz will portray the superhero character 'Domino' in the film. Ryan Reynolds took to social media to share the first look of actress Zazie.,35,85,73.52941176470588,25,34,"Hollywood actor Ryan Reynolds took to social media to share the first look of actress Zazie Beetz from the upcoming superhero film 'Deadpool 2'. ""Some people just know how to work a red carpet,"" wrote Ryan. Zazie will portray the superhero character 'Domino' in the film. Directed by David Leitch, 'Deadpool 2' is scheduled to release on June 1, 2018.",Hollywood actor Ryan Reynolds took to social media to share the first look of actress Zazie Beetz from the upcoming superhero film 'Deadpool 2'. Zazie will portray the superhero character 'Domino' in the film.,60,34,0.54,0.5666666666666667,0.5666666666666667,-0.026666666666666616,0.9529411764705883,0.4166666666666667
1,The suspects drove close to the back of the truck and one of the suspects climbed onto it to break in through the doors while it was being driven. The men then drove off in the truck.,30,80,127.58620689655173,37,29,Police have arrested five men for stealing nearly ?3.8 crore-worth iPhones from a moving delivery truck in the Netherlands. The men drove close to the back of the truck and one of the suspects climbed onto it to break in through the doors while it was being driven. He then passed the iPhones from the truck to other suspects.,The men drove close to the back of the truck and one of the suspects climbed onto it to break in through the doors while it was being driven.,59,29,0.46,0.4915254237288136,0.4915254237288136,-0.03152542372881356,0.9358620689655173,0.6271186440677966
2,"Two-metre high statue unearthed at Angkor temple complex in Cambodia. It is believed to have been the symbolic guardian of an ancient hospital. The temple was the capital of the Khmer Empire, which dates from the 9th to the 15th centuries.",46,96,93.18181818181817,41,44,"Archaeologists on Saturday unearthed a two-metre high, centuries-old statue believed to have been the symbolic guardian of an ancient hospital at the Angkor temple complex in Cambodia. The statue is believed to date back to the late 12th to early 13th century. Angkor was the capital of the Khmer Empire, which dates from the 9th to the 15th centuries. ","Archaeologists on Saturday unearthed a two-metre high, centuries-old statue believed to have been the symbolic guardian of an ancient hospital at the Angkor temple complex in Cambodia. Angkor was the capital of the Khmer Empire, which dates from the 9th to the 15th centuries.",60,44,0.55,0.7457627118644068,0.7333333333333333,-0.18333333333333324,0.7500000000000001,0.6833333333333333
3,India's Deaflympics squad refused to leave the Delhi airport after landing. No government official was there to receive them.,33,83,59.375,19,32,"India's Deaflympics squad, which put up the country's best-ever show at the recently concluded Deaflympics, refused to leave the Delhi airport after landing, since no government official was there to receive them. The 46-athlete contingent, which won five medals, demanded to speak with sports minister Vijay Goel. The athletes protested for over six hours before an SAI official received them.","India's Deaflympics squad, which put up the country's best-ever show at the recently concluded Deaflympics, refused to leave the Delhi airport after landing, since no government official was there to receive them.",60,32,0.32,0.5333333333333333,0.5333333333333333,-0.21333333333333332,0.6,0.31666666666666665
4,"More than 21 lakh Indian technology professionals have applied for H-1B work visas in the last 11 years. The majority of those who applied for the visa were holding master's or bachelor's degree. Their average salary over the last11 years has been $92,317.",47,97,95.55555555555556,43,45,"More than 21 lakh Indian technology professionals have applied for H-1B work visas in the last 11 years, an official report of the US Citizenship and Immigration Services said. The majority of those who applied for the visa were holding master's or bachelor's degree and their average salary over the last 11 years has been $92,317.","More than 21 lakh Indian technology professionals have applied for H-1B work visas in the last 11 years The majority of those who applied for the visa were holding master's or bachelor's degree and their average salary over the last 11 years has been $92,317.",56,45,0.69,0.8035714285714286,0.8035714285714286,-0.11357142857142866,0.8586666666666666,0.7678571428571429
5,"The suitcase had been dumped at an agricultural farm in Navi Mumbai. Police suspect that the woman was murdered and her corpse was then stuffed inside the suitcase. The headless body of a woman, suspected to be in her 20s, was found in a suitcase in Navo Mumbai.",60,110,82.75862068965517,48,58,"Headless body of a woman, suspected to be in her 20s, was found in a suitcase in Navi Mumbai on Monday. The suitcase had been dumped at an agricultural farm and was discovered by the owner, after which he informed the police. Police suspect that the woman was murdered and her corpse was then stuffed inside the suitcase. ","Headless body of a woman, suspected to be in her 20s, was found in a suitcase in Navi Mumbai on Monday. The suitcase had been dumped at an agricultural farm and was discovered by the owner, after which he informed the police. Police suspect that the woman was murdered and her corpse was then stuffed inside the suitcase.",59,58,0.69,1.0,0.9830508474576272,-0.2930508474576272,0.7018965517241379,0.8135593220338984
6,High tension electricity wires along the Delhi-Gurugram Expressway. Haryana Vidyut Prasaran Nigam failed to give permission to move the overhead high tension wires.,61,111,38.983050847457626,23,59,"The construction of Gurugram's Iffco Chowk flyover has reportedly been delayed due to the presence of high tension electricity wires along the Delhi-Gurugram Expressway. The National Highways Authority of India officials said that Haryana Vidyut Prasaran Nigam failed to give permission to move the overhead high tension wires, even though it was earlier agreed upon by the two organisations.","The construction of Gurugram's Iffco Chowk flyover has reportedly been delayed due to the presence of high tension electricity wires along the Delhi-Gurugram Expressway. The National Highways Authority of India officials said that Haryana Vidyut Prasaran Nigam failed to give permission to move the overhead high tension wires, even though it was earlier agreed upon by the two organisations.",59,59,0.59,1.0,1.0,-0.41000000000000003,0.59,0.3898305084745763
7,Google RailTel has started providing free WiFi at 140 railway stations in India. Google's head of connectivity in India recently talked about the Google RailTel.,25,75,104.16666666666667,25,24,"Google's head of connectivity in India recently talked about the Google RailTel, which has started providing free WiFi at 140 railway stations in India. ""If you compare this with Wi-Fi in London and San Francisco, you will find that the Wi-Fi is better in both coverage and capacity"", he said. The initiative aims to cover 400 stations across the country.","Google's head of connectivity in India recently talked about the Google RailTel, which has started providing free WiFi at 140 railway stations in India.",60,24,0.3,0.4,0.4,-0.10000000000000003,0.7499999999999999,0.4166666666666667
8,"All of the nine MLAs in Gujarat were given security, in addition to the 42 that the party took to Bengaluru. The Election Commission ordered police protection for all Congress MLas in Gujarat.",48,98,71.73913043478261,33,46,"The Election Commission ordered police protection for all Congress MLAs in Gujarat over reports of the BJP trying to bribe them to join the party. All of the nine MLAs in Gujarat were given security, in addition to the 42 that the party took to Bengaluru. This comes after six of the party's MLAs resigned and joined the BJP.","The Election Commission ordered police protection for all Congress MLAs in Gujarat over reports of the BJP trying to bribe them to join the party. All of the nine MLAs in Gujarat were given security, in addition to the 42 that the party took to Bengaluru.",59,46,0.51,0.7796610169491526,0.7796610169491526,-0.26966101694915257,0.6541304347826087,0.559322033898305
9,Lashkar-e-Taiba's Kashmir Chief Abu Dujana has been killed in an encounter with security forces.,22,72,66.66666666666666,14,21,Lashkar-e-Taiba's Kashmir Chief Abu Dujana has been killed in an encounter with security forces in Pulwama district of Jammu and Kashmir. His accomplice has also been terminated by the forces. He is the third top militant leader killed since last year following Hizbul Mujahideen leaders Burhan Wani and Sabzar Bhat.,Lashkar-e-Taiba's Kashmir Chief Abu Dujana has been killed in an encounter with security forces in Pulwama district of Jammu and Kashmir.,50,21,0.4,0.42,0.42,-0.019999999999999962,0.9523809523809524,0.28
