,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier
0,"A Goat strayed away from the flock, tempted by a patch of clover. The Goatherd tried to call it back, but in vain. It would not obey him. Then he picked up a stone and threw it, breaking the Goat's horn.

The Goatherd was frightened.

""Do not tell the master,"" he begged the Goat.

""No,"" said the Goat, ""that broken horn can speak for itself!""

Wicked deeds will not stay hid.

It's no use trying to hide what can't be hidden.","The Goatherd tried to call it back, but in vain. It would not obey him. Then he picked up a stone and threw it, breaking the Goat's horn.

 ""Do not tell the master,"" he begged the Goat.

 ""No,"" said the Goat, ""that broken horn can speak for itself!",76,48,0.47,0.5925925925925926,0.631578947368421,-0.16157894736842104,0.7441666666666666
1,"One cold stormy day a Goatherd drove his Goats for shelter into a cave, where a number of Wild Goats had also found their way. The Shepherd wanted to make the Wild Goats part of his flock; so he fed them well. But to his own flock, he gave only just enough food to keep them alive. When the weather cleared, and the Shepherd led the Goats out to feed, the Wild Goats scampered off to the hills.

""Is that the thanks I get for feeding you and treating you so well?"" complained the Shepherd.

""Do not expect us to join your flock,"" replied one of the Wild Goats. ""We know how you would treat us later on, if some strangers should come as we did.""

It is unwise to treat old friends badly for the sake of new ones.","The Shepherd wanted to make the Wild Goats part of his flock; so he fed them well. But to his own flock, he gave only just enough food to keep them alive. ""Do not expect us to join your flock,"" replied one of the Wild Goats. ""We know how you would treat us later on, if some strangers should come as we did.""

It is unwise to treat old friends badly for the sake of new ones.",137,76,0.54,0.55,0.5547445255474452,-0.014744525547445209,0.9734210526315791
2,"There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg.

The Countryman took the eggs to market and soon began to get rich. But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day. He was not getting rich fast enough.

Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open. But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.

Those who have plenty want more and so lose all they have.","There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg.

 But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day. He was not getting rich fast enough.

 Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open. But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.

",136,114,0.75,0.8201438848920863,0.8382352941176471,-0.08823529411764708,0.8947368421052632
3,"One bright day in late autumn a family of Ants were bustling about in the warm sunshine, drying out the grain they had stored up during the summer, when a starving Grasshopper, his fiddle under his arm, came up and humbly begged for a bite to eat.

""What!"" cried the Ants in surprise, ""haven't you stored anything away for the winter? What in the world were you doing all last summer?""

""I didn't have time to store up any food,"" whined the Grasshopper; ""I was so busy making music that before I knew it the summer was gone.""

The Ants shrugged their shoulders in disgust.

""Making music, were you?"" they cried. ""Very well; now dance!"" And they turned their backs on the Grasshopper and went on with their work.

There's a time for work and a time for play.","One bright day in late autumn a family of Ants were bustling about in the warm sunshine, drying out the grain they had stored up during the summer, when a starving Grasshopper, his fiddle under his arm, came up and humbly begged for a bite to eat.

 ""What!"" cried the Ants in surprise, ""haven't you stored anything away for the winter? What in the world were you doing all last summer?""

""I didn't have time to store up any food,"" whined the Grasshopper; ""I was so busy making music that before I knew it the summer was gone. ""Making music, were you?"" they cried.",134,103,0.48,0.7482014388489209,0.7686567164179104,-0.28865671641791046,0.6244660194174757
4,"The Lion had been badly hurt by the horns of a Goat, which he was eating. He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.

The command struck terror among the beasts. All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.

And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.

""Goodby, neighbor Cricket,"" he called. ""I'm off. He will certainly make out that my ears are horns, no matter what I say.""

Do not give your enemies the slightest reason to attack your reputation.

Your enemies will seize any excuse to attack you.","He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.

 All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.

 And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.

 ""

Do not give your enemies the slightest reason to attack your reputation.

",184,135,0.5,0.7195767195767195,0.7336956521739131,-0.23369565217391308,0.6814814814814815
5,"Hares, as you know, are very timid. The least shadow, sends them scurrying in fright to a hiding place. Once they decided to die rather than live in such misery. But while they were debating how best to meet death, they thought they heard a noise and in a flash were scampering off to the warren. On the way they passed a pond where a family of Frogs was sitting among the reeds on the bank. In an instant the startled Frogs were seeking safety in the mud.

""Look,"" cried a Hare, ""things are not so bad after all, for here are creatures who are even afraid of us!""

However unfortunate we may think we are there is always someone worse off than ourselves.","The least shadow, sends them scurrying in fright to a hiding place. Once they decided to die rather than live in such misery. But while they were debating how best to meet death, they thought they heard a noise and in a flash were scampering off to the warren. On the way they passed a pond where a family of Frogs was sitting among the reeds on the bank.",122,69,0.55,0.5564516129032258,0.5655737704918032,-0.015573770491803196,0.9724637681159422
6,"A Heron was walking sedately along the bank of a stream, his eyes on the clear water, and his long neck and pointed bill ready to snap up a likely morsel for his breakfast. The clear water swarmed with fish, but Master Heron was hard to please that morning.

""No small fry for me,"" he said. ""Such scanty fare is not fit for a Heron.""

Now a fine young Perch swam near.

""No indeed,"" said the Heron. ""I wouldn't even trouble to open my beak for anything like that!""

As the sun rose, the fish left the shallow water near the shore and swam below into the cool depths toward the middle. The Heron saw no more fish, and very glad was he at last to breakfast on a tiny Snail.

Do not be too hard to suit or you may have to be content with the worst or with nothing at all.","The clear water swarmed with fish, but Master Heron was hard to please that morning.

 ""I wouldn't even trouble to open my beak for anything like that!""

As the sun rose, the fish left the shallow water near the shore and swam below into the cool depths toward the middle.",148,49,0.31,0.32679738562091504,0.3310810810810811,-0.021081081081081088,0.9363265306122449
7,"A certain man fell ill, and, being in a very bad way, he made a vow that he would sacrifice a hundred oxen to the gods if they would grant him a return to health. Wishing to see how he would keep his vow, they caused him to recover in a short time. Now, he hadn't an ox in the world, so he made a hundred little oxen out of tallow and offered them up on an altar, at the same time saying, ""Ye gods, I call you to witness that I have discharged my vow."" The gods determined to be even with him, so they sent him a dream, in which he was bidden to go to the sea-shore and fetch a hundred crowns which he was to find there. Hastening in great excitement to the shore, he fell in with a band of robbers, who seized him and carried him off to sell as a slave: and when they sold him a hundred crowns was the sum he fetched.

Do not promise more than you can perform.","A certain man fell ill, and, being in a very bad way, he made a vow that he would sacrifice a hundred oxen to the gods if they would grant him a return to health. Wishing to see how he would keep his vow, they caused him to recover in a short time. Now, he hadn't an ox in the world, so he made a hundred little oxen out of tallow and offered them up on an altar, at the same time saying, ""Ye gods, I call you to witness that I have discharged my vow."" The gods determined to be even with him, so they sent him a dream, in which he was bidden to go to the sea-shore and fetch a hundred crowns which he was to find there.",178,131,0.51,0.7318435754189944,0.7359550561797753,-0.2259550561797753,0.6929770992366412
8,"A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.

""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, not you.""

Do not say anything at any time that you would not say at all times.","A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.

 When you are up there it is the roof that's talking, not you.""

Do not say anything at any time that you would not say at all times.",101,82,0.58,0.8058252427184466,0.8118811881188119,-0.23188118811881198,0.7143902439024389
9,"A Lark made her nest in a field of young wheat. As the days passed, the wheat stalks grew tall and the young birds, too, grew in strength. Then one day, when the ripe golden grain waved in the breeze, the Farmer and his son came into the field.

""This wheat is now ready for reaping,"" said the Farmer. ""We must call in our neighbors and friends to help us harvest it.""

The young Larks in their nest close by were much frightened, for they knew they would be in great danger if they did not leave the nest before the reapers came. When the Mother Lark returned with food for them, they told her what they had heard.

""Do not be frightened, children,"" said the Mother Lark. ""If the Farmer said he would call in his neighbors and friends to help him do his work, this wheat will not be reaped for a while yet.""

A few days later, the wheat was so ripe, that when the wind shook the stalks, a hail of wheat grains came rustling down on the young Larks' heads.

""If this wheat is not harvested at once,"" said the Farmer, ""we shall lose half the crop. We cannot wait any longer for help from our friends. Tomorrow we must set to work, ourselves.""

When the young Larks told their mother what they had heard that day, she said:

""Then we must be off at once. When a man decides to do his own work and not depend on any one else, then you may be sure there will be no more delay.""

There was much fluttering and trying out of wings that afternoon, and at sunrise next day, when the Farmer and his son cut down the grain, they found an empty nest.

Self-help is the best help.","As the days passed, the wheat stalks grew tall and the young birds, too, grew in strength. Then one day, when the ripe golden grain waved in the breeze, the Farmer and his son came into the field.

 ""We must call in our neighbors and friends to help us harvest it. ""

The young Larks in their nest close by were much frightened, for they knew they would be in great danger if they did not leave the nest before the reapers came. When the Mother Lark returned with food for them, they told her what they had heard.

 ""If the Farmer said he would call in his neighbors and friends to help him do his work, this wheat will not be reaped for a while yet.""

A few days later, the wheat was so ripe, that when the wind shook the stalks, a hail of wheat grains came rustling down on the young Larks' heads.

 ""If this wheat is not harvested at once,"" said the Farmer, ""we shall lose half the crop. ""

When the young Larks told their mother what they had heard that day, she said:

""Then we must be off at once. When a man decides to do his own work and not depend on any one else, then you may be sure there will be no more delay. ""

There was much fluttering and trying out of wings that afternoon, and at sunrise next day, when the Farmer and his son cut down the grain, they found an empty nest.

Self-help is the best help.",295,254,0.68,0.8552631578947368,0.8610169491525423,-0.1810169491525423,0.7897637795275592
